idx,listing_id,host_id,host_name,review_scores_rating,bedrooms,beds,bathrooms,region,price,accommodates,minimum_nights
180,53973602,436988933,Mustard Hotel Shimokitazawa,5.0,1.0,1.0,1 private bath,Setagaya Ku,"$22,354.00",2,1
181,54024449,213268738,亀戸,5.0,1.0,1.0,1 bath,Koto Ku,"$11,440.00",2,1
182,54074877,341762976,City Hideout,5.0,1.0,2.0,1 bath,Shinjuku Ku,"$13,106.00",4,1
183,54088368,74535093,Miho,5.0,1.0,1.0,1 bath,Shinjuku Ku,"$22,657.00",2,1
184,54150190,321180412,Ostay-Yamato,5.0,1.0,2.0,1.5 baths,Toshima Ku,"$13,200.00",2,1
185,54187323,152645240,Minorasu,5.0,2.0,3.0,1 bath,Ota Ku,"$16,714.00",4,3
186,54252132,38092840,Sayaka  &    Riku,5.0,2.0,5.0,1 bath,Sumida Ku,"$14,396.00",9,4
187,54297902,208138512,Elaine,5.0,2.0,4.0,1 bath,Taito Ku,"$33,371.00",5,1
188,506299280356297444,145326080,Shunki,5.0,1.0,2.0,1.5 baths,Shinjuku Ku,"$24,714.00",3,2
189,513589842177328168,145326080,Shunki,5.0,2.0,2.0,1 bath,Shinjuku Ku,"$26,286.00",4,1
190,522687820911258216,436975093,ザ ミレニアルズ渋谷,5.0,1.0,1.0,1 shared bath,Shibuya Ku,"$12,800.00",1,1
191,33006059,193360373,Tak,5.0,1.0,3.0,3 baths,Katsushika Ku,"$6,343.00",3,1
192,547570197129097827,24575613,Momoe,5.0,1.0,2.0,1 bath,Toshima Ku,"$8,786.00",4,4
193,553027436687819670,21210751,Ken,5.0,1.0,2.0,1 bath,Shinjuku Ku,"$23,800.00",4,2
194,32969024,177431780,静媛,5.0,nan,1.0,1 shared bath,Edogawa Ku,"$20,000.00",2,2
195,553194346104006569,24575613,Momoe,5.0,1.0,2.0,1 bath,Toshima Ku,"$17,500.00",4,6
196,599496694368671040,141952115,Obi,5.0,nan,4.0,5 shared baths,Chuo Ku,"$16,929.00",3,1
197,599516004040124561,230596939,Miwa,5.0,1.0,2.0,1 bath,Shinjuku Ku,"$16,714.00",4,1
198,30947499,186532439,Teppei,5.0,nan,1.0,3 shared baths,Toshima Ku,"$4,000.00",2,30
199,31838437,196519408,Kagaribi,5.0,1.0,3.0,1 shared bath,Adachi Ku,"$6,214.00",3,2
200,640317570259244767,461977942,惠,5.0,nan,3.0,1.5 baths,Edogawa Ku,"$20,943.00",8,1
201,643099085042046126,375928519,西沢,5.0,nan,2.0,1 private bath,Taito Ku,"$31,429.00",3,1
202,643106307339587289,375928519,西沢,5.0,1.0,2.0,1 private bath,Taito Ku,"$31,429.00",4,1
203,31655164,213704055,Natumi,5.0,1.0,1.0,1 shared bath,Shinjuku Ku,"$13,714.00",3,1
204,643194453790067497,57212118,Axas Stay & Hotels,5.0,1.0,4.0,1 private bath,Chuo Ku,"$44,000.00",5,1
205,643754568675703628,375928519,西沢,5.0,1.0,3.0,1.5 baths,Chiyoda Ku,"$61,429.00",5,1
206,644399919469740046,462983474,Stayme,5.0,1.0,1.0,1 bath,Shinjuku Ku,"$7,444.00",2,2
207,645167950647115807,461823552,Minn,5.0,nan,4.0,1 private bath,Taito Ku,"$48,620.00",4,1
208,647345966247509698,19532514,Josh F,5.0,1.0,2.0,1 bath,Shinagawa Ku,"$9,577.00",2,5
209,648278609191776631,460969960,ｻｸﾗｸﾛｽﾎﾃﾙ上野入谷ｱﾈｯｸｽ,5.0,1.0,3.0,1 private bath,Taito Ku,"$44,400.00",7,1
210,648779670633459419,456262635,Sequence SUIDOBASHI,5.0,1.0,1.0,1 private bath,Bunkyo Ku,"$17,729.00",2,1
211,650946808990191894,456262635,Sequence SUIDOBASHI,5.0,1.0,2.0,1 private bath,Bunkyo Ku,"$21,629.00",2,1
212,651046731463155796,464666012,Plays,5.0,4.0,3.0,1 bath,Adachi Ku,"$18,371.00",10,1
213,651122950496197341,456262635,Sequence SUIDOBASHI,5.0,1.0,2.0,1 private bath,Chiyoda Ku,"$18,700.00",3,1
214,651195551265734638,456262635,Sequence SUIDOBASHI,5.0,1.0,1.0,1 private bath,Bunkyo Ku,"$22,586.00",2,1
215,31344352,83618421,Aya,5.0,1.0,2.0,1 private bath,Taito Ku,"$20,000.00",4,1
216,31277902,194366320,Isa And Yumi,5.0,4.0,17.0,4 baths,Taito Ku,"$91,429.00",16,5
217,31212239,233431144,Asako,5.0,nan,2.0,1 bath,Shinjuku Ku,"$25,000.00",3,5
218,658187364482654097,462816590,Pangoo,5.0,1.0,1.0,1 bath,Minato Ku,"$13,586.00",2,1
219,659891903210819919,321365764,Japan House,5.0,1.0,2.0,1 bath,Itabashi Ku,"$13,419.00",2,2
220,661049124440120853,456247666,Minn,5.0,1.0,3.0,1 private bath,Arakawa Ku,"$18,429.00",5,1
221,661053280103616492,456247666,Minn,5.0,1.0,3.0,1 private bath,Arakawa Ku,"$19,371.00",5,1
222,661138025282470536,462984916,Stayme,5.0,1.0,2.0,1 bath,Toshima Ku,"$6,011.00",2,2
223,661930950614395615,86339630,Na,5.0,1.0,2.0,1 private bath,Shinjuku Ku,"$16,257.00",3,1
224,662014181103739753,86339630,Na,5.0,2.0,2.0,2 baths,Shinjuku Ku,"$20,514.00",4,1
225,664288907058648777,467735692,ShinjukuWarmVilla,5.0,1.0,3.0,1 shared bath,Shinjuku Ku,"$29,857.00",5,1
226,664306958846241080,467735692,ShinjukuWarmVilla,5.0,1.0,2.0,1 shared bath,Shinjuku Ku,"$28,286.00",4,1
227,664970613479407092,467940134,Minn,5.0,1.0,4.0,1 private bath,Edogawa Ku,"$27,785.00",4,1
228,667126226298362084,255274063,宅東,5.0,1.0,1.0,1 private bath,Taito Ku,"$11,566.00",2,2
229,31815145,230731097,Tomo & Sachi,5.0,4.0,6.0,2 baths,Edogawa Ku,"$30,000.00",16,30
230,640273376757771903,429330346,Stayme,5.0,1.0,2.0,1 bath,Sumida Ku,"$11,343.00",3,1
231,599532920237115442,230596939,Miwa,5.0,1.0,2.0,1 bath,Shinjuku Ku,"$14,571.00",4,1
232,632356551105511909,60672245,龍也,5.0,1.0,2.0,1 bath,Kita Ku,"$6,300.00",2,5
233,606350328256549166,60672245,龍也,5.0,1.0,2.0,1 bath,Itabashi Ku,"$4,931.00",3,5
