user_id,review_scores_rating,bedrooms,beds,bathrooms,region,price,accommodates,minimum_nights
308,5.0,nan,1.0,1 private bath,Arakawa Ku,14286.00,3,1
309,5.0,2.0,5.0,1 bath,Sumida Ku,23943.00,5,2
310,5.0,1.0,1.0,1 bath,Suginami Ku,7258.00,2,2
311,5.0,1.0,1.0,1 bath,Shinjuku Ku,8443.00,3,3
312,5.0,1.0,1.0,1 bath,Setagaya Ku,7691.00,4,29
313,5.0,1.0,3.0,1 bath,Toshima Ku,24429.00,5,2
314,5.0,1.0,2.0,1 bath,Sumida Ku,15000.00,2,3
315,5.0,1.0,2.0,2.5 shared baths,Setagaya Ku,8000.00,2,2
316,5.0,2.0,2.0,1 bath,Suginami Ku,9143.00,7,3
317,5.0,nan,4.0,4 shared baths,Taito Ku,18000.00,4,1
318,5.0,4.0,6.0,2.5 baths,Edogawa Ku,21624.00,8,2
319,5.0,nan,4.0,1 shared bath,Shinagawa Ku,3000.00,3,1
320,5.0,1.0,1.0,1 bath,Sumida Ku,7444.00,2,2
321,5.0,1.0,3.0,1 bath,Taito Ku,13000.00,2,14
322,5.0,2.0,2.0,1 bath,Kita Ku,19941.00,7,3
323,5.0,1.0,1.0,1 bath,Toshima Ku,13429.00,2,2
324,5.0,1.0,2.0,1 bath,Toshima Ku,13429.00,2,2
325,5.0,1.0,1.0,1 bath,Toshima Ku,13429.00,2,2
326,5.0,1.0,2.0,1 bath,Toshima Ku,13429.00,2,2
327,5.0,1.0,1.0,1 bath,Toshima Ku,13429.00,2,2
328,5.0,1.0,2.0,1 private bath,Itabashi Ku,9228.00,3,2
329,5.0,1.0,2.0,1.5 baths,Shibuya Ku,15550.00,3,3
330,5.0,1.0,2.0,1 bath,Toshima Ku,11071.00,4,3
331,5.0,4.0,5.0,1.5 baths,Taito Ku,28063.00,8,1
332,5.0,1.0,3.0,1 bath,Shibuya Ku,26690.00,6,2
333,5.0,nan,2.0,1 shared bath,Nerima Ku,7966.00,2,5
334,5.0,1.0,4.0,1 bath,Shibuya Ku,37685.00,5,3
335,5.0,1.0,2.0,1 bath,Meguro Ku,15429.00,4,2
336,5.0,1.0,1.0,1 bath,Itabashi Ku,12000.00,3,3
337,5.0,1.0,3.0,1 bath,Itabashi Ku,13286.00,5,3
338,5.0,1.0,3.0,1 bath,Itabashi Ku,13000.00,5,3
339,5.0,1.0,1.0,1.5 baths,Itabashi Ku,12143.00,3,3
340,5.0,6.0,14.0,6 baths,Shinjuku Ku,68371.00,14,1
341,5.0,1.0,3.0,1 bath,Shibuya Ku,26258.00,4,3
342,5.0,nan,2.0,1 shared bath,Edogawa Ku,7000.00,2,2
343,5.0,nan,2.0,0 shared baths,Shinjuku Ku,12031.00,2,2
344,5.0,1.0,3.0,1 private bath,Shibuya Ku,69000.00,4,1
345,5.0,2.0,2.0,1 bath,Sumida Ku,22286.00,5,6
346,5.0,3.0,6.0,1 bath,Katsushika Ku,22714.00,6,2
347,5.0,2.0,4.0,1.5 baths,Sumida Ku,8000.00,7,30
348,5.0,1.0,3.0,1.5 shared baths,Taito Ku,39710.00,6,1
349,5.0,3.0,3.0,1 bath,Sumida Ku,35143.00,8,2
350,5.0,2.0,2.0,2 baths,Sumida Ku,38000.00,6,1
351,5.0,1.0,2.0,1 bath,Sumida Ku,9729.00,3,1
352,5.0,2.0,4.0,1.5 baths,Toshima Ku,37142.00,8,1
353,5.0,1.0,1.0,1 bath,Sumida Ku,9900.00,3,1
354,5.0,3.0,2.0,1 bath,Katsushika Ku,20914.00,6,1
355,5.0,1.0,1.0,1 bath,Bunkyo Ku,24548.00,4,1
356,5.0,1.0,1.0,1 bath,Bunkyo Ku,22494.00,4,1
357,5.0,1.0,1.0,1 bath,Shinjuku Ku,18229.00,2,1
358,5.0,1.0,1.0,1 bath,Shinjuku Ku,20214.00,3,2
359,5.0,nan,4.0,1 bath,Shinjuku Ku,141000.00,10,1
360,5.0,1.0,1.0,1 bath,Shinjuku Ku,15000.00,2,2
361,5.0,1.0,2.0,1 bath,Shinagawa Ku,28086.00,5,1
362,5.0,3.0,5.0,1 bath,Sumida Ku,37000.00,7,1
363,5.0,3.0,nan,1 bath,Shibuya Ku,32000.00,8,1
364,5.0,2.0,4.0,1.5 baths,Shibuya Ku,80000.00,10,2
365,5.0,nan,1.0,1 bath,Shinjuku Ku,17150.00,3,1
366,5.0,nan,1.0,1 bath,Shinjuku Ku,12943.00,3,1
367,5.0,1.0,2.0,1 bath,Shinjuku Ku,14200.00,3,1
368,5.0,1.0,2.0,1 bath,Shinjuku Ku,34966.00,4,1
369,5.0,1.0,3.0,1 bath,Edogawa Ku,24700.00,5,3
370,5.0,1.0,1.0,1 bath,Suginami Ku,17971.00,4,3
371,5.0,1.0,1.0,1 bath,Shinjuku Ku,7444.00,2,2
